city,AQI,PM2.5/1h,PM2.5/10h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,42,9,15,0.27,4,118,82,8
阿克苏地区,69,31,86,0.55,7,105,58,5
阿拉善盟,90,17,28,0.4,5,159,146,6
阿勒泰地区,39,7,3,0.25,12,84,77,3
阿里地区,48,6,9,0.4,4,104,94,4
安康,48,20,43,0.4,8,140,94,8
安庆,82,32,58,0.48,11,153,137,8
鞍山,101,27,51,0.73,14,200,148,15
安顺,47,16,24,0.45,5,116,93,5
安阳,108,26,164,0.42,8,200,167,7
白城,55,9,22,0.25,6,137,104,5
百色,65,36,77,0.75,11,141,82,24
白山,63,7,32,0.5,8,145,114,9
白银,59,27,65,0.5,16,115,90,13
保定,137,24,53,0.5,21,261,199,14
宝鸡,68,30,68,0.51,20,173,109,8
保山,66,37,43,0.65,8,141,117,4
包头,61,33,36,0.46,10,162,112,6
巴彦淖尔,102,26,67,0.77,12,201,136,17
巴中,43,28,42,0.6,9,122,70,4
北海,61,30,67,0.75,10,144,112,8
北京,140,27,60,0.57,21,277,177,5
蚌埠,100,19,56,0.44,13,167,158,13
本溪,93,19,49,0.88,14,193,135,23
毕节,60,32,67,0.4,12,126,62,7
滨州,143,42,99,1.27,22,277,206,42
博州,42,11,29,0.4,0,97,83,4
亳州,95,19,56,0.65,7,182,152,13
沧州,127,30,63,0.83,30,252,153,20
长春,51,16,29,0.38,13,134,100,3
常德,73,37,57,0.76,6,177,124,9
昌都,39,5,11,0.2,10,96,76,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,38,7,10,0.3,13,59,75,6
长沙,98,33,60,0.65,13,197,133,7
常熟,134,37,66,0.4,23,258,196,15
长治,103,22,59,0.74,7,204,157,8
常州,62,27,47,0.68,27,147,113,11
朝阳,65,17,42,0.55,7,167,116,12
潮州,70,50,68,0.83,14,126,113,13
承德,66,8,46,0.58,14,168,118,15
成都,92,38,66,0.64,18,192,120,5
郴州,58,38,63,0.65,13,128,67,14
赤峰,61,43,63,0.17,13,123,90,6
池州,96,36,73,0.57,15,193,153,10
重庆,48,29,47,0.67,23,139,73,7
崇左,49,26,48,0.55,6,138,65,8
楚雄州,63,24,33,0.85,7,135,114,7
滁州,82,37,75,0.6,16,166,137,10
大连,102,27,53,0.64,25,202,156,10
大理州,64,18,33,0.6,9,128,115,6
丹东,116,41,73,1.1,14,229,166,23
大庆,42,9,25,0.38,11,106,82,4
